glyph_name,ps_name,USV,sort_final,in_neo
.notdef,.notdef,,1,Y
.null,.null,,2,Y
nonmarkingreturn,nonmarkingreturn,U+000D,3,Y
space,space,U+0020,4,Y
exclam,exclam,U+0021,5,Y
quotedbl,quotedbl,U+0022,6,Y
numbersign,numbersign,U+0023,7,Y
dollar,dollar,U+0024,8,Y
percent,percent,U+0025,9,Y
ampersand,ampersand,U+0026,10,Y
quotesingle,quotesingle,U+0027,11,Y
parenleft,parenleft,U+0028,12,Y
parenright,parenright,U+0029,13,Y
asterisk,asterisk,U+002A,14,Y
plus,plus,U+002B,15,Y
comma,comma,U+002C,16,Y
hyphen,hyphen,U+002D,17,Y
period,period,U+002E,18,Y
slash,slash,U+002F,19,Y
zero,zero,U+0030,20,Y
one,one,U+0031,21,Y
two,two,U+0032,22,Y
three,three,U+0033,23,Y
four,four,U+0034,24,Y
five,five,U+0035,25,Y
six,six,U+0036,26,Y
seven,seven,U+0037,27,Y
eight,eight,U+0038,28,Y
nine,nine,U+0039,29,Y
colon,colon,U+003A,30,Y
semicolon,semicolon,U+003B,31,Y
less,less,U+003C,32,Y
equal,equal,U+003D,33,Y
greater,greater,U+003E,34,Y
question,question,U+003F,35,Y
at,at,U+0040,36,Y
A,A,U+0041,37,Y
B,B,U+0042,38,Y
C,C,U+0043,39,Y
D,D,U+0044,40,Y
E,E,U+0045,41,Y
F,F,U+0046,42,Y
G,G,U+0047,43,Y
H,H,U+0048,44,Y
I,I,U+0049,45,Y
J,J,U+004A,46,Y
K,K,U+004B,47,Y
L,L,U+004C,48,Y
M,M,U+004D,49,Y
N,N,U+004E,50,Y
O,O,U+004F,51,Y
P,P,U+0050,52,Y
Q,Q,U+0051,53,Y
R,R,U+0052,54,Y
S,S,U+0053,55,Y
T,T,U+0054,56,Y
U,U,U+0055,57,Y
V,V,U+0056,58,Y
W,W,U+0057,59,Y
X,X,U+0058,60,Y
Y,Y,U+0059,61,Y
Z,Z,U+005A,62,Y
bracketleft,bracketleft,U+005B,63,Y
backslash,backslash,U+005C,64,Y
bracketright,bracketright,U+005D,65,Y
asciicircum,asciicircum,U+005E,66,Y
underscore,underscore,U+005F,67,Y
grave,grave,U+0060,68,Y
a,a,U+0061,69,Y
b,b,U+0062,70,Y
c,c,U+0063,71,Y
d,d,U+0064,72,Y
e,e,U+0065,73,Y
f,f,U+0066,74,Y
g,g,U+0067,75,Y
h,h,U+0068,76,Y
i,i,U+0069,77,Y
j,j,U+006A,78,Y
k,k,U+006B,79,Y
l,l,U+006C,80,Y
m,m,U+006D,81,Y
n,n,U+006E,82,Y
o,o,U+006F,83,Y
p,p,U+0070,84,Y
q,q,U+0071,85,Y
r,r,U+0072,86,Y
s,s,U+0073,87,Y
t,t,U+0074,88,Y
u,u,U+0075,89,Y
v,v,U+0076,90,Y
w,w,U+0077,91,Y
x,x,U+0078,92,Y
y,y,U+0079,93,Y
z,z,U+007A,94,Y
braceleft,braceleft,U+007B,95,Y
bar,bar,U+007C,96,Y
braceright,braceright,U+007D,97,Y
asciitilde,asciitilde,U+007E,98,Y
uni007F,uni007F,U+007F,99,Y
nbspace,uni00A0,U+00A0,100,Y
exclamdown,exclamdown,U+00A1,101,Y
cent,cent,U+00A2,102,Y
sterling,sterling,U+00A3,103,Y
currency,currency,U+00A4,104,Y
yen,yen,U+00A5,105,Y
brokenbar,brokenbar,U+00A6,106,Y
section,section,U+00A7,107,Y
dieresis,dieresis,U+00A8,108,Y
copyright,copyright,U+00A9,109,Y
ordfeminine,ordfeminine,U+00AA,110,Y
guillemotleft,guillemotleft,U+00AB,111,Y
logicalnot,logicalnot,U+00AC,112,Y
softhyphen,sfthyphen,U+00AD,113,Y
registered,registered,U+00AE,114,Y
macron,macron,U+00AF,115,Y
degree,degree,U+00B0,116,Y
plusminus,plusminus,U+00B1,117,Y
twosuperior,twosuperior,U+00B2,118,Y
threesuperior,threesuperior,U+00B3,119,Y
acute,acute,U+00B4,120,Y
mu,mu,U+00B5,121,Y
paragraph,paragraph,U+00B6,122,Y
periodcentered,periodcentered,U+00B7,123,Y
cedilla,cedilla,U+00B8,124,Y
onesuperior,onesuperior,U+00B9,125,Y
ordmasculine,ordmasculine,U+00BA,126,Y
guillemotright,guillemotright,U+00BB,127,Y
onequarter,onequarter,U+00BC,128,Y
onehalf,onehalf,U+00BD,129,Y
threequarters,threequarters,U+00BE,130,Y
questiondown,questiondown,U+00BF,131,Y
Agrave,Agrave,U+00C0,132,Y
